"","sp.code","id","X","class","values","total","Common.name..Species.","Species","Diagnosis","Neoplasia.Site","Tumor.type"
"56","CANFAM","Murchison_1172T-Dog","Precision","Stromal",1,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"57","CANFAM","Murchison_1172T-Dog","Precision","Lymphocyte",0.974576271186441,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"58","CANFAM","Murchison_1172T-Dog","Precision","Cancer",0.967741935483871,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"59","CANFAM","Murchison_1172T-Dog","Precision","Overall",0.980772735556771,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"60","CANFAM","Murchison_1172T-Dog","Precision","mean",0.980772735556771,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"61","CANFAM","Murchison_1172T-Dog","F1","Stromal",0.867924528301887,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"62","CANFAM","Murchison_1172T-Dog","F1","Lymphocyte",0.982905982905983,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"63","CANFAM","Murchison_1172T-Dog","F1","Cancer",0.980392156862745,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"64","CANFAM","Murchison_1172T-Dog","F1","Overall",0.943740889356872,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"65","CANFAM","Murchison_1172T-Dog","F1","mean",0.943740889356872,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"66","CANFAM","Murchison_1172T-Dog","Balanced Accuracy","Stromal",0.883333333333333,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"67","CANFAM","Murchison_1172T-Dog","Balanced Accuracy","Lymphocyte",0.992765678564227,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"68","CANFAM","Murchison_1172T-Dog","Balanced Accuracy","Cancer",0.954075105358218,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"69","CANFAM","Murchison_1172T-Dog","Balanced Accuracy","Overall",0.943391372418593,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"70","CANFAM","Murchison_1172T-Dog","Balanced Accuracy","mean",0.943391372418593,629,"Dog","Canis familiaris","Canine transmissible venereal tumor","Intra vaginal","Round-cell"
"71","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Sensitivity","Stromal",0.855855855855856,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"72","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Sensitivity","Lymphocyte",0.905405405405405,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"73","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Sensitivity","Cancer",0.188291139240506,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"74","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Sensitivity","Overall",0.649850800167256,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"75","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Sensitivity","mean",0.649850800167256,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"76","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Specificity","Stromal",0.994145199063232,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"77","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Specificity","Lymphocyte",0.312247644683715,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"78","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Specificity","Cancer",0.915915915915916,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"79","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Specificity","Overall",0.740769586554287,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"80","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Specificity","mean",0.740769586554287,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"81","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Pos Pred Value","Stromal",0.95,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"82","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Pos Pred Value","Lymphocyte",0.282303370786517,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"83","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Pos Pred Value","Cancer",0.80952380952381,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"84","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Pos Pred Value","Overall",0.680609060103442,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"85","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Pos Pred Value","mean",0.680609060103442,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"86","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Neg Pred Value","Stromal",0.98150289017341,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"87","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Neg Pred Value","Lymphocyte",0.91699604743083,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"88","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Neg Pred Value","Cancer",0.372860635696822,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"89","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Neg Pred Value","Overall",0.757119857767021,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"90","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Neg Pred Value","mean",0.757119857767021,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"91","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Precision","Stromal",0.95,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"92","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Precision","Lymphocyte",0.282303370786517,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"93","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Precision","Cancer",0.80952380952381,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"94","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Precision","Overall",0.680609060103442,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"95","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Precision","mean",0.680609060103442,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"96","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","F1","Stromal",0.900473933649289,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"97","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","F1","Lymphocyte",0.430406852248394,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"98","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","F1","Cancer",0.305519897304236,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"99","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","F1","Overall",0.54546689440064,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"100","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","F1","mean",0.54546689440064,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"101","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Balanced Accuracy","Stromal",0.925000527459544,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"102","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Balanced Accuracy","Lymphocyte",0.60882652504456,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"103","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Balanced Accuracy","Cancer",0.552103527578211,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"104","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Balanced Accuracy","Overall",0.695310193360772,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"105","CAPHIR","ZM134_17_1.ndpi_West African pygmy goat_lymphosarcoma_forestomach","Balanced Accuracy","mean",0.695310193360772,965,"West African pygmy goat","Capra hircus","Lymphosarcoma","Forestomach","Round-cell"
"106","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Sensitivity","Stromal",0.571428571428571,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"107","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Sensitivity","Lymphocyte",0.974169741697417,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"108","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Sensitivity","Cancer",0.920588235294118,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"109","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Sensitivity","Overall",0.822062182806702,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"110","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Sensitivity","mean",0.822062182806702,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"111","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Specificity","Stromal",0.973813420621931,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
"112","CRAHEA","ZM633_18_1.ndpi_Panay cloudrunner_hepatocellular carcinoma_liver","Specificity","Lymphocyte",0.938997821350762,730,"Panay cloudrunner","Crateromys heaneyi","Hepatocellular carcinoma","Liver","Epithelial"
